iter	Passed	Remaining
0	412	82041
1	651	64508
2	900	59113
3	1101	53992
4	1322	51591
5	1537	49711
6	1742	48044
7	1928	46276
8	2153	45701
9	2350	44653
10	2550	43818
11	2732	42809
12	2905	41787
13	3079	40913
14	3230	39845
15	3389	38975
16	3561	38337
17	3672	37129
18	3846	36642
19	4006	36057
20	4108	35016
21	4199	33981
22	4299	33090
23	4408	32330
24	4523	31662
25	4618	30909
26	4723	30262
27	4820	29612
28	4932	29085
29	5053	28636
30	5183	28255
31	5298	27817
32	5396	27309
33	5486	26788
34	5614	26467
35	5708	26004
36	5827	25673
37	5923	25253
38	6043	24947
39	6175	24703
40	6278	24348
41	6406	24099
42	6531	23848
43	6654	23593
44	6755	23269
45	6864	22979
46	6964	22672
47	7076	22410
48	7175	22110
49	7267	21802
50	7372	21539
51	7470	21261
52	7591	21056
53	7709	20843
54	7818	20612
55	7921	20370
56	8020	20122
57	8141	19932
58	8244	19702
59	8341	19463
60	8435	19221
61	8537	19003
62	8662	18837
63	8775	18648
64	8885	18453
65	9000	18273
66	9103	18070
67	9229	17916
68	9347	17747
69	9448	17547
70	9545	17342
71	9649	17154
72	9766	16991
73	9865	16798
74	9991	16652
75	10127	16523
76	10249	16372
77	10356	16199
78	10461	16023
79	10627	15940
80	10770	15823
81	10942	15746
82	11078	15616
83	11196	15462
84	11303	15293
85	11402	15115
86	11507	14946
87	11602	14766
88	11710	14604
89	11812	14438
90	11908	14263
91	11998	14084
92	12087	13907
93	12176	13730
94	12280	13572
95	12391	13424
96	12525	13299
97	12697	13216
98	12819	13078
99	12921	12921
100	13051	12792
101	13157	12641
102	13270	12497
103	13379	12350
104	13498	12212
105	13607	12066
106	13709	11915
107	13844	11793
108	13948	11644
109	14083	11522
110	14178	11368
111	14289	11227
112	14456	11130
113	14597	11012
114	14739	10894
115	14850	10753
116	14953	10607
117	15054	10461
118	15148	10311
119	15241	10161
120	15369	10034
121	15559	9947
122	15719	9840
123	15840	9708
124	16022	9613
125	16154	9487
126	16250	9340
127	16361	9203
128	16471	9065
129	16565	8919
130	16699	8795
131	16839	8675
132	17006	8567
133	17133	8438
134	17255	8308
135	17360	8169
136	17493	8044
137	17609	7911
138	17728	7779
139	17826	7639
140	17917	7497
141	18009	7355
142	18104	7216
143	18196	7076
144	18302	6942
145	18395	6803
146	18503	6671
147	18602	6535
148	18730	6411
149	18867	6289
150	18985	6160
151	19119	6037
152	19244	5911
153	19346	5778
154	19449	5646
155	19568	5519
156	19695	5394
157	19799	5263
158	19910	5134
159	20013	5003
160	20122	4874
161	20237	4747
162	20340	4617
163	20434	4485
164	20539	4356
165	20651	4229
166	20769	4104
167	20876	3976
168	21003	3852
169	21118	3726
170	21275	3608
171	21403	3484
172	21523	3359
173	21631	3232
174	21732	3104
175	21831	2976
176	21952	2852
177	22125	2734
178	22247	2610
179	22346	2482
180	22434	2355
181	22536	2228
182	22649	2104
183	22770	1980
184	22877	1854
185	22976	1729
186	23075	1604
187	23167	1478
188	23281	1355
189	23373	1230
190	23470	1105
191	23570	982
192	23671	858
193	23775	735
194	23887	612
195	23983	489
196	24086	366
197	24190	244
198	24292	122
199	24387	0
